type,wgl,date,loc,vip,price
揽胜 2020款 3.0 L6 传世加长版,4.3,2022/3/1,武汉,1年钻石会员,129.7
奥迪A6L 2018款 30周年年型 45 TFSI quattro 运动型,9,2018/7/1,临沂,1年黄金会员,25.5
瑞纳 2016款 1.4L 自动领先型GLX,8,2016/10/1,太原,2年黄金会员,3.88
奥迪Q3 2013款 35 TFSI quattro 舒适型,9.4,2014/2/1,太原,5年黄金会员,8.68
驱逐舰05 2022款 DM-i 55KM 豪华型,0.8,2023/3/1,郑州,3年黄金会员,9.8
奔驰E级(进口) 2012款 E 200 CGI Coupe,13,2013/8/1,北京,3年黄金会员,9.98
奔驰GLK级 2015款 GLK 300 4MATIC 时尚型 极致版,8.81,2015/11/1,南京,2年黄金会员,13.68
Panamera 2019款 Panamera 2.9T,3.8,2020/5/1,上海,3年黄金会员,88.5
Macan 2020款 Macan 2.0T,5.1,2021/1/1,济南,13年黄金会员,46.5
凯迪拉克CT6 2020款 28T 豪华型,4.75,2020/4/1,潍坊,3年钻石会员,23.98
唐新能源 2018款 DM 2.0T 全时四驱智联创领型 7座 国V,6.91,2019/5/1,西安,5年钻石会员,14.58
AION Y 2021款 70 悦享科技版,6,2021/12/1,广州,4年黄金会员,10.58
Panamera新能源 2021款 Panamera 4 E-Hybrid 2.9T,1.7,2020/9/1,重庆,7年钻石会员,94.8
兰德酷路泽(进口) 2018款 5.7L 中东版,9,2018/10/1,长沙,1年会员,76.8
宏光MINIEV 2021款 马卡龙时尚款 三元锂,0.01,2023/7/1,常州,10年黑金会员,3.68
兰德酷路泽(进口) 2015款 4.0L V6 中东低配版,11,2016/8/1,郑州,6年会员,39.3
唐新能源 2022款 EV 635KM 四驱旗舰型,0.19,2022/7/1,大连,10年会员,24.6
奥迪A4L 2019款 40 TFSI 进取型 国VI,6.3,2020/1/1,潍坊,1年黑金会员,17.98
Model 3 2022款 后轮驱动版,0.9,2022/8/1,佛山,10年钻石会员,22.46
奔驰GLA 2015款 GLA 220 4MATIC 时尚型,7.7,2015/10/1,无锡,4年黑金会员,10.9
理想L7 2023款 Pro,0.01,2023/8/1,成都,11年黑金会员,31.5
途昂 2023款 380TSI 四驱尊崇豪华版,0.1,2023/7/1,石家庄,1年钻石会员,30.38
奔驰GLS 2021款 改款 GLS 450 4MATIC 时尚型,3.3,2021/10/1,长沙,2年钻石会员,104.8
威霆 2018款 2.0T 商务版 国V,7,2019/4/1,青岛,2年钻石会员,29.98
奥迪Q5L 2022款 改款 45T 豪华动感型,4.53,2022/2/1,郑州,11年黑金会员,32.89
奔驰V级 2021款 V 260 尊贵版,3.3,2022/4/1,合肥,3年会员,46.6
英仕派 2022款 260TURBO 精耀版,0.32,2021/11/1,合肥,4年黑金会员,16.63
发现神行 2018款 240PS SE版,3,2018/7/1,无锡,8年黑金会员,17.8
SIENNA 2015款 3.5L 两驱LE,6.5,2019/10/1,临沂,5年钻石会员,32.7
威驰FS 2017款 1.5L CVT锋驰版,1,2019/3/1,成都,11年黑金会员,5.88
本田CR-V 2021款 240TURBO CVT两驱都市版,4.53,2021/8/1,合肥,4年黑金会员,15.15
雷克萨斯NX 2015款 300h 前驱 锋尚版,8,2016/1/1,中山,2年黄金会员,16.98
宝马X4 2022款 xDrive 30i M运动套装,1.2,2023/1/1,成都,11年黑金会员,41.98
奥迪A4L 2009款 2.0 TFSI 标准型,14,2010/6/1,南京,1年黄金会员,3.98
朗逸 2021款 280TSI DSG舒适版,2.1,2021/3/1,厦门,11年黄金会员,9.98
兰德酷路泽(进口) 2018款 5.7L 中东版,9,2018/4/1,哈尔滨,5年黄金会员,98.88
北京现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,4.18,2019/6/1,郑州,11年黑金会员,8.69
沃尔沃XC60 2019款 T5 四驱智逸版 国VI,7,2019/2/1,重庆,7年黄金会员,19.99
领航员 2017款 3.5T AWD,7,2018/3/1,昆明,3年黄金会员,42
奔驰CLA 2014款 CLA 260 4MATIC,7.5,2015/10/1,成都,3年黄金会员,13.4
宝马5系 2022款 改款二 530Li 尊享型 M运动套装,1.3,2022/7/1,合肥,10年黄金会员,42.88
飞驰 2022款 4.0T V8 标准版,0.95,2022/6/1,上海,10年钻石会员,319.8
Urus 2021款 4.0T V8,5.1,2020/7/1,杭州,9年黄金会员,264.98
曜影 2015款 6.6T 标准型,3,2018/1/1,深圳,8年会员,428
迈巴赫GLS 2022款 GLS 600 4MATIC 礼乐版,0.4,2023/2/1,武汉,1年钻石会员,253.7
揽胜 2017款 3.0T 柴油中东版,6.8,2017/5/1,成都,11年黑金会员,76.88
古思特 2015款 Series II 加长版,5.2,2017/10/1,深圳,8年会员,320
迈巴赫 2011款 6.0T 自动,3.7,2012/2/1,上海,5年钻石会员,318.8
迈巴赫S级 2019款 改款 S 680,1.2,2019/6/1,郑州,12年黄金会员,239.3
Aventador 2017款 Aventador S,0.24,2019/5/1,长沙,11年钻石会员,548.8
魅影 2017款 6.6T Black Badge Edition,4,2017/8/1,深圳,8年会员,388
魅影 2017款 6.6T Black Badge Edition,2,2018/2/1,深圳,8年会员,428
宝马5系 2022款 改款 525Li M运动套装,1.6,2022/3/1,温州,1年黄金会员,35.68
法拉利F8 2019款 Tributo 3.9T V8,0.37,2022/10/1,北京,5年黄金会员,351.8
一汽-大众CC 2020款 330TSI 华颜版 国VI,5.7,2021/1/1,成都,11年黑金会员,16.88
宝马3系(进口) 2012款 318i领先型,10,2012/2/1,温州,1年黄金会员,4.3
奔驰E级 2021款 改款 E 260 L,1.4,2022/1/1,武汉,1年黑金会员,39.3
奔驰A级 2019款 A 200 L 运动轿车,3.1,2019/9/1,成都,7年黑金会员,17.6
奥迪A8 2021款 A8L 50 TFSI quattro 豪华型,6.7,2021/11/1,成都,7年黑金会员,63.6
奥迪Q8 2019款 55 TFSI 豪华动感型,6.6,2020/6/1,武汉,1年黑金会员,56.5
奔驰C级 2019款 改款 C 260 L 运动版,5.2,2019/5/1,东莞,9年黑金会员,23.3
途观 2010款 1.8TSI 自动四驱菁英版,14.43,2011/1/1,临沂,2年钻石会员,4.3
奥迪A8 2017款 A8L 45 TFSI quattro舒适型,5.7,2017/9/1,北京,3年黄金会员,37.8
Model 3 2022款 后轮驱动版,0.2,2022/4/1,广州,13年黑金会员,21.67
奔驰E级 2022款 E 300 L 豪华型,3.5,2022/1/1,泉州,5年黑金会员,43.98
奔驰G级 2020款 G 350,0.5,2021/6/1,长沙,12年黑金会员,158.8
埃尔法 2018款 3.5L 尊贵版,10.3,2017/3/1,广州,4年黄金会员,69.5
宝马5系 2022款 530Li 尊享型 M运动套装,1.2,2023/1/1,常州,7年黑金会员,44.55
奔驰GLS 2020款 GLS 450 4MATIC 豪华型,4.97,2020/9/1,西安,5年黑金会员,95.68
宝马1系 2018款 118i 运动型,5.6,2019/1/1,重庆,4年会员,10.8
Levante 2019款 3.0T 标准版 国V,3.12,2021/1/1,西安,5年黑金会员,62.5
雷克萨斯ES 2020款 200 豪华版,4.74,2021/3/1,西安,5年黑金会员,23.98
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,8,2019/2/1,成都,11年黑金会员,27.68
汉兰达 2017款 2.0T 四驱豪华版 7座,7.3,2018/1/1,成都,11年黑金会员,20.6
星越L 2021款 2.0TD DCT EVO两驱智尊型,0.79,2023/2/1,无锡,4年黑金会员,14.3
思域 2019款 220TURBO CVT劲动版 国V,5.8,2020/5/1,成都,11年黑金会员,10.38
福克斯 2018款 两厢经典 EcoBoost 180 自动精英型,6.5,2018/6/1,成都,11年黑金会员,6.68
揽胜 2016款 3.0T 欧规版,11,2017/4/1,长沙,2年钻石会员,68.8
奥迪S3 2017款 改款 S3 2.0T Limousine,9,2018/1/1,海口,2年黄金会员,18.98
奔驰CLS 2018款 CLS 350 4MATIC,3.9,2018/10/1,西安,5年黑金会员,43.18
奥迪Q2L 2020款 35 TFSI 时尚动感型,3.4,2020/10/1,无锡,4年黑金会员,13.5
揽胜 2020款 3.0 L6 传世版,6.6,2020/9/1,北京,8年黄金会员,112.7
蔚来ET5 2022款 75kWh,0.28,2023/4/1,佛山,8年钻石会员,26.68
发现运动版 2021款 249PS R-Dynamic S 性能版,4.7,2021/6/1,佛山,8年钻石会员,21.78
甲壳虫 2018款 180TSI 宜乐型,2,2019/1/1,长沙,4年钻石会员,13.88
凯美瑞 2019款 2.0G 豪华版 国V,7.8,2019/9/1,佛山,1年黄金会员,13.58
帕杰罗(进口)V97 2018款 3.8L 中东版,6.4,2020/4/1,成都,11年黑金会员,27.98
奔驰GLE 2022款 GLE 450 墨规版,3.8,2022/3/1,北京,5年钻石会员,71.8
探岳 2021款 380TSI 四驱R-Line智联版,2.7,2022/2/1,重庆,7年会员,17.88
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC 青春运动版,3.6,2020/6/1,郑州,6年黄金会员,17
途观L 2021款 330TSI 自动两驱R-Line越享版,6,2020/12/1,成都,11年黑金会员,15.98
Macan 2020款 Macan 2.0T,7,2020/2/1,成都,11年黑金会员,39.98
奥迪A6L 2021款 40 TFSI 豪华致雅型,4.8,2021/3/1,成都,11年黑金会员,31.58
捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,6,2021/4/1,成都,11年黑金会员,16.88
奔驰GLE轿跑 2022款 改款 GLE 450 4MATIC 轿跑SUV 时尚型,2.73,2022/4/1,广州,9年黄金会员,68.8
别克GL8 2020款 陆上公务舱 652T 舒适型,8.9,2020/11/1,上海,4年黄金会员,16.98
雷克萨斯RX 2020款 改款 300 四驱典雅版,4.38,2020/11/1,惠州,1年钻石会员,38.58
奔驰E级(进口) 2021款 E 260 轿跑车,2.44,2021/1/1,武汉,1年黑金会员,39.8
宝马5系 2022款 530Li 领先型 豪华套装,1.3,2022/6/1,重庆,8年黄金会员,40.98
Levante 2016款 3.0T 标准型,6.1,2017/8/1,重庆,8年黄金会员,48.98
逸动 2019款 蓝鲸版 280T GDI DCT劲速型,5,2019/12/1,重庆,6年黄金会员,5.38
君威 2012款 2.0L 豪华版,8.2,2013/12/1,上海,6年钻石会员,2.88
雅阁 2018款 锐·混动 2.0L 锐智版 国VI,6,2020/10/1,佛山,1年黄金会员,15.98
奥迪A6L 2021款 45 TFSI 臻选致雅型,4.7,2021/7/1,东莞,6年黄金会员,33.88
迈锐宝 2018款 530T 自动豪华版,4.52,2018/7/1,郑州,11年黑金会员,8.39
smart forfour 2018款 1.0L 52千瓦激情版,2.29,2018/8/1,郑州,11年黑金会员,7.99
马自达3 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,4.98,2017/5/1,郑州,11年黑金会员,6.29
指南者 2017款 200T 自动家享版,5.62,2017/5/1,郑州,11年黑金会员,7.29
普拉多 2016款 2.7L 自动标准版,9.4,2017/10/1,重庆,5年黄金会员,28.98
宝马6系GT 2019款 630i M运动套装,8.5,2019/1/1,昆明,3年黄金会员,34.8
北京现代ix35 2018款 2.0L 自动两驱智勇·畅享版,8.62,2018/9/1,郑州,11年黑金会员,7.79
雷凌 2021款 TNGA 1.5L CVT领先版,2.99,2021/1/1,郑州,11年黑金会员,7.59
奥迪A6L 2016款 30 FSI 技术型,6.8,2017/4/1,郑州,11年黑金会员,20.59
奥迪Q3 2022款 35 TFSI 时尚致雅型,0.39,2022/2/1,郑州,11年黑金会员,20.99
宝马6系GT 2021款 630i 豪华设计套装,2.83,2021/1/1,武汉,1年黑金会员,42.8
唐新能源 2022款 EV 635KM 四驱旗舰型,0.87,2022/7/1,合肥,4年黑金会员,22.68
博瑞 2018款 1.5T MHEV 耀享版,8.1,2018/10/1,广州,5年黄金会员,6.98
宝马5系 2020款 530Li 领先型 M运动套装,9.47,2020/8/1,合肥,4年黑金会员,30.88
冠道 2017款 370TURBO 四驱尊享版,6.42,2017/8/1,合肥,4年黑金会员,16.5
迈锐宝XL 2021款 535T 自动锐动版,5.97,2021/3/1,合肥,4年黑金会员,9.13
宝马X4 2021款 xDrive 25i M运动套装,7.2,2021/1/1,东莞,6年黄金会员,32.88
宝马3系GT 2020款 320i M运动曜夜版,2.8,2021/6/1,重庆,8年黄金会员,25.98
Macan 2020款 Macan 2.0T,4.5,2020/1/1,三明,10年黑金会员,43.9
红旗H9 2022款 2.0T 智联旗享版,0.09,2023/8/1,长沙,12年黑金会员,26.6
宝马5系新能源 2021款 535Le M运动套装,6.3,2020/12/1,石家庄,7年黄金会员,30.98
别克GL8 2021款 ES陆尊 653T 尊享型,5.75,2021/6/1,合肥,4年黑金会员,28.48
沃尔沃XC60(进口) 2014款 T5 智逸版,8.7,2014/1/1,成都,9年黄金会员,8.98
别克GL8 2018款 ES 28T 尊享型 国VI,7,2019/7/1,无锡,7年黄金会员,22.28
思域 2012款 1.8L 自动舒适版,11.3,2012/4/1,郑州,3年黄金会员,4.58
领动 2018款 1.4T 双离合炫动·活力型,5.6,2019/1/1,杭州,1年黄金会员,7
昕动 2014款 1.6L 自动悦享版,6.2,2016/10/1,杭州,1年黄金会员,4.2
途锐 2021款 2.0TSI 锐翼版,6.2,2021/4/1,重庆,10年钻石会员,38.88
Polo 2013款 1.6L 自动舒适版,15,2012/3/1,苏州,4年黄金会员,3.18
保时捷718 2018款 Boxster S 2.5T,6,2018/5/1,东莞,5年黄金会员,53.88
威霆 2023款 2.0T 商务版 7座,0.01,2023/7/1,唐山,13年钻石会员,52
博瑞 2015款 1.8T 尊贵型,7.8,2015/8/1,郑州,3年黄金会员,3.88
奔驰M级 2015款 ML 320 4MATIC,12,2015/4/1,无锡,7年黄金会员,23.28
奔驰SLK级 2010款 SLK 350 Grand Edition,4,2013/6/1,南昌,2年黄金会员,12.68
宝马7系 2018款 730Li 领先型 M运动套装,8.04,2018/10/1,重庆,11年黑金会员,41.5
古思特 2021款 6.7T 标准轴距版,0.01, ,天津,2年黄金会员,440
宏光MINIEV 2022款 GAMEBOY 200km 玩乐款 磷酸铁锂,0.5,2022/7/1,东莞,5年黄金会员,4.28
宝马5系 2022款 改款 530Li 领先型 豪华套装,0.47,2022/7/1,青岛,9年钻石会员,40.88
沃尔沃XC90 2018款 T6 智逸版 7座,2.3,2018/3/1,青岛,9年钻石会员,37.3
宝马X4 2014款 xDrive20i X设计套装,13.5,2016/7/1,广州,1年黄金会员,18.8
奥迪TT 2013款 TT Roadster 45 TFSI,6.6,2015/5/1,广州,1年黄金会员,16.68
英菲尼迪QX50 2020款 改款 2.0T 四驱菁英版,2.3,2021/9/1,东莞,5年黄金会员,20.88
马自达3 昂克赛拉 2019款 云控版 三厢 1.5L 自动舒适型 国VI,3,2019/10/1,重庆,1年会员,8.08
马自达3 昂克赛拉 2022款 2.0L 自动质耀黑曜版,1.68,2022/3/1,重庆,1年会员,10.78
捷豹F-PACE 2018款 改款 2.0T 四驱R-Sport运动版,6.9,2018/9/1,淄博,10年黄金会员,21.8
宝马5系 2020款 525Li M运动套装,7,2019/12/1,成都,2年黄金会员,28.5
理想ONE 2021款 增程6座版,4.4,2021/6/1,昆明,4年钻石会员,23.8
奥迪S3 2015款 S3 2.0T Limousine,7.9,2015/9/1,北京,5年钻石会员,18.8
奥迪A6L 2022款 55 TFSI quattro 尊享动感型,0.95,2022/6/1,西安,8年黑金会员,43.7
奥迪A4L 2020款 40 TFSI 时尚动感型,1.5,2021/1/1,西安,8年黑金会员,21.1
库里南 2024款 四座版,0.01, ,天津,2年黄金会员,715
宝马X5(进口) 2014款 xDrive35i 领先型,12,2015/1/1,北京,5年钻石会员,26.8
途锐新能源 2021款 eHybrid,4.9,2021/4/1,西安,8年黑金会员,39.9
威霆 2021款 2.0T 商务版 7座,0.01,2023/6/1,唐山,13年钻石会员,51
奔驰V级 2021款 V 260 L 长轴距豪华版,1.92,2022/10/1,北京,2年钻石会员,54.98
Cayenne 2011款 Cayenne 3.0T,10,2011/6/1,北京,5年钻石会员,21.8
昂科拉 2018款 18T 自动两驱都市领先型,5.1,2018/3/1,南宁,3年黑金会员,5.99
英菲尼迪Q50L 2015款 2.0T 舒适版,9.8,2015/3/1,无锡,5年钻石会员,9.88
MINI 2019款 2.0T COOPER S 经典派,2.2,2020/1/1,青岛,9年钻石会员,19.98
威霆 2013款 3.0L 商务版,8,2015/11/1,北京,5年钻石会员,17.8
逸动 2018款 1.6L GDI 手动领尚型,3.6,2018/7/1,郑州,3年黄金会员,4.58
MINI COUNTRYMAN 2011款 1.6L ONE,10,2013/5/1,常州,10年钻石会员,7.98
宝马7系 2017款 730Li 领先型,12.1,2018/10/1,重庆,1年黄金会员,37.8
速腾 2013款 2.0TSI GLI,9,2015/3/1,常州,5年黄金会员,6.08
朗动 2012款 1.6L 自动时尚型,5,2014/10/1,常州,3年黄金会员,3.98
MINI JCW COUNTRYMAN 2022款 2.0T JOHN COOPER WORKS ALL-IN,0.26,2022/3/1,苏州,11年钻石会员,38.8
昊锐 2012款 1.8TSI 自动贵雅版,11,2012/9/1,常州,3年黄金会员,3.58
MINI 2015款 1.2T ONE 五门版,9.6,2016/3/1,重庆,3年黄金会员,8.68
雷克萨斯GS 2016款 300h 豪华版,6,2017/10/1,佛山,8年黄金会员,30.68
奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,4,2021/5/1,无锡,5年钻石会员,55.88
远景X6 2016款 1.3T CVT旗舰型,6.3,2017/1/1,郑州,3年黄金会员,4.98
宝马M4 2017款 M4双门轿跑车,3.5,2019/7/1,青岛,4年黄金会员,47.8
奔驰C级AMG 2012款 AMG C 63 动感型,9,2013/9/1,北京,5年钻石会员,25.3
宝马5系 2013款 520Li 典雅型,9,2013/8/1,南宁,3年黑金会员,12.5
奥迪Q5L 2020款 40 TFSI 荣享时尚型,4.9,2020/11/1,哈尔滨,1年黑金会员,27.98
奥迪A6L 2017款 30 FSI 舒适型,10,2016/12/1,无锡,7年黄金会员,20.5
奥迪Q5L 2021款 40 TFSI 豪华动感型,0.75,2021/6/1,长沙,9年黄金会员,28.8
奔驰CLS 2012款 CLS 300 CGI,5.8,2014/9/1,长沙,9年黄金会员,21.8
宝马3系 2016款 320Li 进取型,9.7,2016/5/1,南宁,3年黑金会员,14.9
奥迪S4 2020款 S4 3.0TFSI,1.9,2021/3/1,东莞,5年黄金会员,37.8
雅阁 2012款 2.4L SE,17,2012/8/1,广州,6年黄金会员,5.4
奥迪Q5 2013款 40 TFSI 技术型,12,2014/1/1,东莞,4年黄金会员,10.87
神行者2 2014款 2.0T Si4 HSE汽油版,11,2014/10/1,苏州,1年黄金会员,9.88
景逸X5 2017款 1.6L 手动尊享型,8.4,2017/5/1,南宁,5年黄金会员,3.38
途观L 2019款 280TSI 自动两驱全景舒适版 国VI,9.9,2019/6/1,苏州,2年钻石会员,12.58
别克GL8 2021款 陆上公务舱 652T 智慧豪华型,4.5,2021/2/1,郑州,3年黄金会员,21.98
雪铁龙C5 2011款 2.3L 自动尊驭型,8.9,2011/10/1,苏州,3年黄金会员,1.7
君越 2010款 2.4L雅致版,9.5,2010/4/1,苏州,3年黄金会员,1.99
别克GL8 2023款 ES陆尊 尊享型,0.01,2023/9/1,郑州,3年黄金会员,34.19
锐际 2020款 EcoBoost 245 两驱耀享款,1.7,2021/1/1,东莞,1年黄金会员,11.68
轩逸 2009款 2.0XL CVT豪华版,9.5,2011/3/1,广州,8年黄金会员,3.13
奥迪A4L 2017款 Plus 40 TFSI 进取型,7,2017/5/1,温州,3年黄金会员,14.98
小鹏G3 2019款 尊享版,7.1,2019/1/1,广州,4年黄金会员,7.98
阿特兹 2021款 2.5L 蓝天尊崇版,3.5,2022/1/1,南宁,1年黄金会员,11.98
英朗 2016款 15N 自动豪华型,6.8,2016/6/1,苏州,2年钻石会员,4.58
沃尔沃S90 2020款 T5 智逸豪华版,4,2020/4/1,成都,4年黄金会员,22.98
凯迪拉克SRX 2012款 3.0L 豪华型,9.5,2012/11/1,苏州,3年黄金会员,5.35
蔚来ES7 2022款 75kWh,1.1,2022/8/1,北京,11年黄金会员,33.8
赛那SIENNA 2023款 2.5L混动 铂金版,0.8,2023/5/1,石家庄,7年黄金会员,45.5
别克GL8 2017款 25S 舒适型 国V,12.8,2017/11/1,青岛,10年黄金会员,12.5
航海家 2021款 2.7T 四驱尊耀版,0.7,2022/3/1,武汉,6年黄金会员,30.5
悍马H2 2008款 6.2 AT,9.8,2010/6/1,青岛,2年黄金会员,44.6
奔驰GLE 2017款 GLE 320 4MATIC 动感型,6,2019/1/1,青岛,2年黄金会员,39.8
Cayman 2013款 Cayman 2.7L,6,2016/5/1,青岛,2年黄金会员,26.8
奔驰GLE 2016款 GLE 320 4MATIC 豪华型,9,2016/10/1,青岛,2年黄金会员,33.9
别克GL8 2017款 ES 28T 尊享型 国V,10.3,2018/9/1,上海,4年黄金会员,15.88
君威 2009款 2.4L 旗舰版,9.5,2010/5/1,苏州,3年黄金会员,1.85
奔驰C级 2013款 C 260 时尚型 Grand Edition,11,2014/3/1,广州,2年黄金会员,7.28
问界M7 2022款 1.5T 增程式 两驱舒适版,0.01,2022/12/1,南通,2年黄金会员,22.68
远景X6 2016款 1.3T CVT旗舰型,4,2018/4/1,温州,5年黄金会员,4.28
英朗 2013款 GT 1.6L 自动时尚版,10.8,2015/1/1,宁波,5年黄金会员,2.88
小鹏P7 2020款 586E,3.9,2021/10/1,杭州,2年黄金会员,15.58
天籁 2021款 2.0L XL 舒适版,1.9,2021/9/1,石家庄,11年黄金会员,13.6
保时捷718 2016款 Boxster 2.0T,5,2017/5/1,武汉,7年钻石会员,38.5
MINI 2021款 2.0T COOPER S 经典派,1.8,2021/6/1,台州,5年黄金会员,23.8
奔驰GLE 2018款 GLE 400 4MATIC 臻藏版,12,2019/1/1,济南,1年黄金会员,44.5
捷豹XFL 2021款 XFL 2.0T P200 两驱精英豪华版,1.5,2021/8/1,成都,4年黄金会员,24.28
捷豹XF 2013款 XF 3.0 SC 风华版,15.2,2013/7/1,东莞,4年黄金会员,9.8
君威 2010款 2.0T 豪华运动版,9.18,2010/8/1,苏州,3年黄金会员,1.88
揽胜 2019款 3.0 SC V6 传世加长版,11,2019/12/1,杭州,9年黄金会员,109
君威 2010款 2.0L 世博版,14.6,2011/6/1,宁波,5年黄金会员,2.1
奔驰V级 2018款 V 260 L 尊贵加长版 国V,7.8,2019/2/1,温州,5年黄金会员,32.98
飞度 2014款 1.5L EXLI CVT领先型,7.7,2014/7/1,宁波,5年黄金会员,4.28
奔驰E级 2017款 E 200 运动型,4.5,2017/10/1,广州,2年钻石会员,22.9
奔驰V级 2020款 V 260 L 长轴距豪华版,5.8,2021/3/1,济南,12年黄金会员,57.8
Polo 2013款 1.6L 自动舒适版,9.6,2013/2/1,宁波,5年黄金会员,2.78
兰德酷路泽(进口) 2016款 4.0L 中东版,8,2018/4/1,台州,5年黄金会员,57
明锐 2010款 1.6L 自动逸致版,11,2012/1/1,长沙,10年黄金会员,3.38
途乐 2018款 4.0L 领英型,5.1,2019/3/1,广州,2年钻石会员,38.5
宝马X3(进口) 2016款 sDrive20i,8.31,2017/5/1,南昌,9年钻石会员,15.9
雷克萨斯LS 2021款 500h 行政版,0.9,2022/10/1,北京,2年黄金会员,91.8
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,8.3,2013/9/1,杭州,2年黄金会员,11.68
汉 2022款 EV 创世版 610KM四驱尊享型,0.5,2022/6/1,苏州,8年黄金会员,21.7
迈巴赫S级 2015款 S 400 4MATIC,12,2015/7/1,成都,8年钻石会员,62
雷克萨斯LX 2023款 600 美规版,0.01, ,广州,4年黄金会员,159.8
海豹 2022款 700km 长续航后驱版,0.94,2022/10/1,广州,2年黄金会员,17.88
Model 3 2020款 标准续航后驱升级版,2.64,2020/10/1,广州,2年黄金会员,16.48
别克GL8 2022款 Avenir艾维亚 六座贤礼版,3.7,2022/7/1,郑州,10年黄金会员,39.5
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,0.1,2022/3/1,长沙,2年钻石会员,69.98
揽胜 2014款 3.0T 柴油版,12,2015/1/1,沈阳,4年黄金会员,68.8
Model 3 2020款 标准续航后驱升级版,4.75,2020/11/1,杭州,3年黄金会员,16.38
海豚 2021款 401km 骑士版,1.69,2021/12/1,杭州,3年黄金会员,10.28
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,5.6,2020/10/1,宁波,1年会员,31.8
星瑞 2021款 2.0TD 尊贵型,2.5,2021/7/1,宁波,1年会员,7.6
奔驰C级 2019款 C 260 运动版,7,2019/7/1,南京,3年会员,20.5
Model Y 2022款 后轮驱动版,1.9,2022/9/1,广州,4年黄金会员,23.78
奔腾B70 2021款 1.5T 自动尊享型,1.8,2022/3/1,宁波,1年会员,6.5
艾瑞泽8 2022款 1.6T DCT逸,0.86,2022/10/1,宁波,1年会员,7.4
领航员 2019款 3.5T 总统系列 国VI,8,2019/3/1,沈阳,3年钻石会员,75.5
奔驰C级(进口) 2021款 C 260 轿跑车,3,2021/6/1,成都,7年钻石会员,26
宝马6系 2013款 改款 640i Gran Coupe,8,2014/1/1,长沙,7年会员,24.98
揽胜运动版 2015款 3.0 SC V6 HSE DYNAMIC,9.8,2015/7/1,合肥,2年会员,38.8
唐新能源 2021款 DM-i 112KM 尊荣型,4,2021/8/1,广州,4年黄金会员,16.5
奔驰GLS 2020款 GLS 580 墨规版,0.01, ,广州,1年黄金会员,159
英菲尼迪QX 2013款 QX56,19,2013/11/1,沈阳,3年钻石会员,28.5
英菲尼迪Q50 2014款 3.7L 豪华运动版,17,2014/7/1,东莞,5年黄金会员,12.88
汉 2020款 EV 四驱高性能版旗舰型,4,2021/4/1,广州,4年黄金会员,17.8
奔驰E级 2021款 E 300 L 运动豪华型,4,2022/3/1,成都,7年钻石会员,39
飞驰 2017款 4.0T V8 S 标准版,3,2020/12/1,深圳,8年会员,188
奔驰C级(进口) 2018款 C 200 轿跑车,5,2018/5/1,广州,9年黄金会员,22.38
宋PLUS新能源 2021款 EV 旗舰型,3,2023/1/1,广州,4年黄金会员,15.88
兰德酷路泽(进口) 2018款 4.5L 柴油版,4.5,2019/6/1,成都,3年黄金会员,96.8
朗逸 2015款 1.6L 自动舒适版,6.2,2016/7/1,武汉,4年会员,4.15
奔驰E级 2019款 E 200 L,5.9,2020/1/1,济南,8年会员,31.5
星越L 2021款 2.0TD DCT EVO两驱尊贵型,1.6,2021/9/1,宁波,1年会员,10.18
星瑞 2021款 2.0TD 尊贵型,1.68,2020/11/1,宁波,1年会员,7.68
Panamera 2014款 Panamera S Executive 3.0T,12,2014/2/1,潍坊,9年黄金会员,43.8
奔驰CLA 2019款 CLA 220 4MATIC,1.6,2018/10/1,青岛,9年钻石会员,18.7
奔驰C级 2017款 改款 C 200 L 运动版,11,2017/8/1,泉州,3年黄金会员,16.7
迈巴赫S级 2020款 S 450 4MATIC 典藏版,1.3,2020/8/1,北京,11年钻石会员,119.8
雷克萨斯RZ 2023款 450e 四驱纵享版,0.01,2023/8/1,北京,11年钻石会员,34.8
威霆 2021款 2.0T 商务版 7座,0.01,2022/1/1,北京,11年钻石会员,37.3
奥迪A5 2020款 Coupe 40 TFSI 时尚型 国VI,4.51,2021/1/1,惠州,1年钻石会员,27.4
雷克萨斯RZ 2023款 450e 四驱纵享版,0.01,2023/6/1,北京,2年钻石会员,34.8
Panamera 2010款 Panamera 3.6L,10.6,2012/5/1,东莞,9年黄金会员,31.5
君越 2020款 652T 豪华型,2,2020/9/1,上海,7年黄金会员,13.3
吉利ICON 2020款 1.5TD i7 BSG,5.2,2020/12/1,常州,5年黄金会员,7.28
瑞纳 2010款 三厢 1.4L 自动舒适型GS,10,2010/11/1,南昌,7年黄金会员,1.78
奔驰CLS 2021款 CLS 300 动感型,1.6,2021/11/1,合肥,10年黄金会员,49.88
奥迪Q3 2017款 35 TFSI 时尚型,7,2017/9/1,常州,5年黄金会员,11.58
